[3, 11, 0, 0]:[115876.4991509372, 115771.72280903014, 115594.30768639277, 115872.07909298598, 115760.72083941882, 116055.3236588072, 115870.48953192547, 115860.4695205028]
[4, 11, 0, 0]:[98417.25151123213, 97698.88737195902, 95783.35623981126, 99399.6070256446, 82685.24533640558, 117698.40937506317, 97187.48600394538, 95443.02205899087]
[2, 11, 0, 0]:[93063.18917698311, 88090.5069847326, 91734.06716900255, 93998.07052296634, 86735.33259982194, 91894.45543890016, 115821.36595423226, 87346.10060187585]
[2, 10, 0, 0]:[41541.06920845701, 31611.03647163366, 29935.844284036222, 38799.57117050609, 35678.54694046298, 46004.65540173141, 103068.62019355777, 37940.4422100982]
[3, 9, 0, 0]:[42588.61635101132, 44898.56708383483, 36037.711257945586, 42353.48865394614, 43175.256288630226, 41549.72877088535, 102143.64106287403, 39542.843616108876]
[3, 10, 0, 0]:[77829.26624090935, 86116.90662034508, 71345.2914226955, 82833.80214076304, 86056.42406656637, 87066.78257893227, 115268.43286177279, 85704.46607505232]
[3, 8, 0, 0]:[6766.873387818594, 12813.527466031115, 13082.036557164562, 9872.465172994442, 9606.46163052216, 11132.632959364159, 37380.78748063964, 9218.15646832299]
[1, 11, 0, 0]:[104062.0376207514, 55119.34069064858, 49680.68474976547, 60908.31726532725, 58035.97885102623, 52492.16617136638, 61007.94462369519, 53933.225475404906]
[0, 10, 0, 0]:[11499.794006701593, 6952.883874188936, 8384.431114509905, 9647.953681129924, 10625.279660476892, 24002.43468434384, 10248.63482654767, 7679.331970664507]
[0, 9, 0, 0]:[21144.950996885353, 6659.81017079003, 6584.30583148465, 8665.489371083464, 5906.135419962542, 7606.721964094035, 8494.343298955187, 6229.098939917784]
[0, 8, 0, 0]:[4260.621201423714, 3446.0044472586333, 3151.4246807960444, 4016.332991135144, 3598.1599691690753, 11380.984715776724, 3271.9516656013952, 3940.26989139423]
